2023-11-13 15:53:40-log: Cannot access game frame or container.
2023-11-13 15:53:40-debug: asset-db:require-engine-code (698ms)
2023-11-13 15:53:40-log: Cocos Creator v3.8.1
2023-11-13 15:53:40-debug: [Assets Memory track]: asset-db:worker-init: initEngine start:19.43MB, end 91.62MB, increase: 72.19MB
2023-11-13 15:53:40-debug: [Assets Memory track]: asset-db:worker-init: initPlugin start:91.62MB, end 97.22MB, increase: 5.60MB
2023-11-13 15:53:40-debug: [Assets Memory track]: asset-db-plugin-register: engine-extends start:94.04MB, end 97.22MB, increase: 3.18MB
2023-11-13 15:53:40-debug: [Assets Memory track]: asset-db-plugin-enable: project start:94.21MB, end 97.22MB, increase: 3.01MB
2023-11-13 15:53:40-debug: [Assets Memory track]: asset-db-plugin-register: programming start:92.27MB, end 93.99MB, increase: 1.73MB
2023-11-13 15:53:40-debug: asset-db:worker-init: initPlugin (160ms)
2023-11-13 15:53:40-debug: [Assets Memory track]: asset-db:worker-init start:19.43MB, end 97.28MB, increase: 77.85MB
2023-11-13 15:53:40-debug: Run asset db hook engine-extends:beforePreStart ...
2023-11-13 15:53:41-debug: %cImport%c: /Applications/Cocos/Creator/3.8.1/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/chunksbackground: #aaff85; color: #000;color: #000;
2023-11-13 15:53:41-debug: %cImport%c: /Applications/Cocos/Creator/3.8.1/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/default_cubemapbackground: #aaff85; color: #000;color: #000;
2023-11-13 15:53:41-debug: %cImport%c: /Applications/Cocos/Creator/3.8.1/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/default-terrainbackground: #aaff85; color: #000;color: #000;
2023-11-13 15:53:41-debug: %cImport%c: /Applications/Cocos/Creator/3.8.1/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/default_file_contentbackground: #aaff85; color: #000;color: #000;
2023-11-13 15:53:41-debug: %cImport%c: /Applications/Cocos/Creator/3.8.1/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/default_fontsbackground: #aaff85; color: #000;color: #000;
2023-11-13 15:53:40-debug: Run asset db hook programming:beforePreStart ...
2023-11-13 15:53:40-debug: Run asset db hook programming:beforePreStart success!
2023-11-13 15:53:40-debug: Run asset db hook engine-extends:beforePreStart success!
2023-11-13 15:53:41-debug: %cImport%c: /Applications/Cocos/Creator/3.8.1/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/default_materialsbackground: #aaff85; color: #000;color: #000;
2023-11-13 15:53:41-debug: %cImport%c: /Applications/Cocos/Creator/3.8.1/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/default_skyboxbackground: #aaff85; color: #000;color: #000;
2023-11-13 15:53:41-debug: %cImport%c: /Applications/Cocos/Creator/3.8.1/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/default_uibackground: #aaff85; color: #000;color: #000;
